scenario,seed,tp_nu,sim_rmse_cum,sim_rmse_inf,sim_peak_t_abs_err,sim_peak_i_abs_err,cm_rmse_cum,cm_rmse_inf,cm_peak_t_abs_err,cm_peak_i_abs_err,score_total
homogeneous,109,1.418,0.016665917643983803,0.003653479059227887,0.049999999999998934,0.007967704074796023,0.0016229861905277267,0.0005586954403965924,0.15000000000000036,0.0003467801055622999,0.04439095065432019
poisson,102,1.418,0.009362217820030572,0.00354316927916543,0.049999999999998934,0.008656763348574487,0.0025423591080827868,0.0008628039451819033,0.05000000000000071,0.0012851423155540442,0.03733470743351748
bimodal,102,1.418,0.004882300246941483,0.0031195893499823663,0.0,0.002329386487710028,0.0019666553964715937,0.000805763057090219,0.0,0.0006806492684206245,0.012436274628273014
truncated_powerlaw,105,1.46,0.005132354620063736,0.001974985560417931,0.0,0.0007067549714558363,0.01122071319810392,0.004999600058886875,0.0,0.004566346125066428,0.014676520779066584
