figure,key,rmse_cum_vs_paper_sim,rmse_inf_vs_paper_sim,rmse_cum_vs_paper_theory,rmse_inf_vs_paper_theory,peak_t_abs_err_vs_sim,peak_i_abs_err_vs_sim
5,ad_mfsh,0.005461162548840842,0.0020551208168332587,0.004981819208358402,0.0033051533535972933,0.0,0.0012683546903339282
7,dfd,0.007796399380328872,0.001718986458917273,0.004669067665575601,0.0006968994581125612,0.050000000000000266,0.00040250266822891567
9,dc,0.005359767280023099,0.0019820830678748233,0.0035902077813072322,0.0012507364488129043,0.0,0.001811558993292245
11,mp,0.004909843306498799,0.0008843259231300813,0.003980101333112732,0.00046176055953640996,0.09999999999999964,0.0012474038867292397
13,ed_mfsh,0.0013210796539974813,3.412817670288151e-05,0.00039867770011795813,3.174386671277287e-06,10.5,1.2306566064704673e-05
15,dvd,0.006944376779298332,0.002628046577544335,0.006819082350321076,0.0020990840272936055,0.0,0.0012529330868915611
