figure,key,profile,n_nodes,runs_total,runs_epidemic,rmse_sim_cum_vs_paper_sim,rmse_sim_inf_vs_paper_sim,rmse_ode_cum_vs_paper_theory,rmse_ode_inf_vs_paper_theory,peak_t_abs_err_sim_vs_paper_sim,peak_i_abs_err_sim_vs_paper_sim
5,ad_mfsh,default,120000,1,1,0.004420689195989215,0.002559549687848547,0.004977088820285723,0.0033016093771913936,0.016666666666666607,0.003200397848828418
7,dfd,default,10000,120,120,0.011119494352795717,0.0032706461706022007,0.0039141917122925765,0.0005677261577892028,0.04444444444444473,0.006906430614411943
9,dc,default,5000,180,180,0.026421434138298533,0.0069647503049177165,0.003266915759345782,0.0014565610669879494,0.08333333333333304,0.019039566449950973
11,mp,default,120000,1,1,0.0046916993492588975,0.0017723078080981165,0.003979072361257365,0.0004612315048742842,0.022222222222222143,0.0035902267451421443
13,ed_mfsh,default,500000,1,1,0.38181981628056644,0.018479403414449338,0.00040041221564969076,3.1503515701401804e-06,58.0,0.046439527598797714
15,dvd,default,10000,120,120,0.011811410551255197,0.006007816109220852,0.006821455395881825,0.001991541015209366,0.04444444444444451,0.010057700431689492
