figure,key,profile,n_nodes,runs_total,runs_epidemic,rmse_sim_cum_vs_paper_sim,rmse_sim_inf_vs_paper_sim,rmse_ode_cum_vs_paper_theory,rmse_ode_inf_vs_paper_theory,peak_t_abs_err_sim_vs_paper_sim,peak_i_abs_err_sim_vs_paper_sim
5,ad_mfsh,quick,30000,1,1,0.004938793113258145,0.003996389911795192,0.004977088820285723,0.0033016093771913936,0.033333333333333215,0.009728377611832428
7,dfd,quick,4000,24,24,0.015945300352069473,0.0037945075390531653,0.0039141917122925765,0.0005677261577892028,0.0,0.00892898503780934
9,dc,quick,2500,40,40,0.0384789411089269,0.009789632915536849,0.003266915759345782,0.0014565610669879494,0.1166666666666667,0.02446929660406738
11,mp,quick,30000,1,1,0.003321390450331712,0.0018527296804471832,0.003979072361257365,0.0004612315048742842,0.17777777777777803,0.005475411930327537
13,ed_mfsh,quick,300000,1,1,0.06653970645358165,0.001317425404281985,0.00040041221564969076,3.1503515701401804e-06,33.333333333333336,0.0030287659946610992
15,dvd,quick,4000,24,24,0.01403203444331454,0.007271196044077785,0.006821455395881825,0.001991541015209366,0.10000000000000009,0.009833269043958648
